Model,Val Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1
SVC,0.9887027658745617,0.9875389408099688,0.987633338723521,0.9875389408099688,0.9875397609722859
LogisticRegression,0.9216984807167901,0.9154984423676013,0.9162637812491365,0.9154984423676013,0.9156042268448917
RandomForest,0.9809115699259836,0.9774143302180686,0.9776405588435559,0.9774143302180686,0.9774535101719158
